Searching for text files...
Found 50000 files. Starting processing...

Worker-1 -> file10124.txt: 8637 slow
Worker-6 -> file1013.txt: 8961 slow
Worker-5 -> file10128.txt: 8704 slow
Worker-3 -> file10133.txt: 6593 slow
Worker-4 -> file10129.txt: 8372 slow
Worker-7 -> file10130.txt: 7919 slow
Worker-6 -> file10135.txt: 4588 slow
Worker-2 -> file10131.txt: 8735 slow
Worker-8 -> file10132.txt: 8432 slow
Worker-6 -> file1014.txt: 3809 slow
Worker-8 -> file10141.txt: 1989 slow
Worker-1 -> file10134.txt: 9973 slow
Worker-3 -> file10137.txt: 4782 slow
Worker-6 -> file10142.txt: 3034 slow
Worker-2 -> file10140.txt: 5599 slow
Worker-8 -> file10143.txt: 4825 slow
Worker-5 -> file10136.txt: 9674 slow
Worker-7 -> file10139.txt: 8718 slow
Worker-4 -> file10138.txt: 9905 slow
Worker-6 -> file10146.txt: 8653 slow
Worker-1 -> file10144.txt: 6516 slow
Worker-2 -> file10147.txt: 4441 slow
Worker-3 -> file10145.txt: 7836 slow
Worker-3 -> file10154.txt: 1340 slow
Worker-5 -> file10149.txt: 4822 slow
Worker-8 -> file10148.txt: 5057 slow
Worker-6 -> file10151.txt: 6541 slow
Worker-7 -> file1015.txt: 5599 slow
Worker-1 -> file10152.txt: 4829 slow
Worker-6 -> file10158.txt: 3892 slow
Worker-3 -> file10156.txt: 4390 slow
Worker-2 -> file10153.txt: 7293 slow
Worker-8 -> file10157.txt: 4803 slow
Worker-4 -> file10150.txt: 9598 slow
Worker-4 -> file10164.txt: 1444 slow
Worker-2 -> file10162.txt: 2655 slow
Worker-1 -> file1016.txt: 5527 slow
Worker-6 -> file10160.txt: 6938 slow
Worker-5 -> file10155.txt: 8525 slow
Worker-4 -> file10165.txt: 2357 slow
Worker-7 -> file10159.txt: 9230 slow
Worker-8 -> file10163.txt: 5058 slow
Worker-1 -> file10167.txt: 4010 slow
Worker-3 -> file10161.txt: 2092 slow
Worker-2 -> file10166.txt: 5252 slow
Worker-5 -> file10169.txt: 4515 slow
Worker-6 -> file10168.txt: 8976 slow
Worker-7 -> file10170.txt: 5781 slow
Worker-6 -> file10176.txt: 3372 slow
Worker-4 -> file1017.txt: 6662 slow
Worker-8 -> file10171.txt: 6004 slow
Worker-1 -> file10172.txt: 5224 slow
Worker-7 -> file10177.txt: 1934 slow
Worker-2 -> file10174.txt: 5235 slow
Worker-6 -> file10178.txt: 3635 slow
Worker-8 -> file1018.txt: 2709 slow
Worker-4 -> file10179.txt: 3799 slow
Worker-6 -> file10183.txt: 1524 slow
Worker-3 -> file10173.txt: 8325 slow
Worker-5 -> file10175.txt: 7768 slow
Worker-1 -> file10180.txt: 5456 slow
Worker-6 -> file10186.txt: 5505 slow
Worker-8 -> file10184.txt: 4256 slow
Worker-5 -> file10188.txt: 4066 slow
Worker-3 -> file10187.txt: 5466 slow
Worker-2 -> file10182.txt: 8015 slow
Worker-6 -> file1019.txt: 3792 slow
Worker-7 -> file10181.txt: 8808 slow
Worker-3 -> file10192.txt: 1640 slow
Worker-4 -> file10185.txt: 9085 slow
Worker-1 -> file10189.txt: 5848 slow
Worker-2 -> file10193.txt: 3492 slow
Worker-6 -> file10194.txt: 6929 slow
Worker-4 -> file10197.txt: 4160 slow
Worker-8 -> file10190.txt: 8105 slow
Worker-5 -> file10191.txt: 8490 slow
Worker-1 -> file10198.txt: 4863 slow
Worker-7 -> file10195.txt: 8217 slow
Worker-3 -> file10196.txt: 8331 slow
Worker-6 -> file102.txt: 5231 slow
Worker-4 -> file1020.txt: 3961 slow
Worker-2 -> file10199.txt: 7361 slow
Worker-8 -> file10200.txt: 5046 slow
Worker-6 -> file10205.txt: 2408 slow
Worker-4 -> file10206.txt: 2593 slow
Worker-2 -> file10207.txt: 2157 slow
Worker-2 -> file10210.txt: 1980 slow
Worker-1 -> file10202.txt: 7896 slow
Worker-5 -> file10201.txt: 9460 slow
Worker-7 -> file10203.txt: 8572 slow
Worker-3 -> file10204.txt: 8947 slow
Worker-4 -> file1021.txt: 5437 slow
Worker-6 -> file10209.txt: 8656 slow
Worker-8 -> file10208.txt: 7200 slow
Worker-5 -> file10213.txt: 2398 slow
Worker-2 -> file10211.txt: 4545 slow
Worker-3 -> file10215.txt: 2452 slow
Worker-4 -> file10216.txt: 2540 slow
Worker-6 -> file10217.txt: 3224 slow
Worker-7 -> file10214.txt: 4651 slow
Worker-4 -> file10221.txt: 2471 slow
Worker-1 -> file10212.txt: 7992 slow
Worker-5 -> file10219.txt: 4585 slow
Worker-2 -> file1022.txt: 4512 slow
Worker-3 -> file10220.txt: 5294 slow
Worker-8 -> file10218.txt: 7942 slow
Worker-7 -> file10223.txt: 4602 slow
Worker-6 -> file10222.txt: 9845 slow
Worker-2 -> file10226.txt: 5692 slow
Worker-8 -> file10229.txt: 2947 slow
Worker-7 -> file1023.txt: 3268 slow
Worker-4 -> file10224.txt: 8733 slow
Worker-3 -> file10228.txt: 6541 slow
Worker-1 -> file10225.txt: 8541 slow
Worker-5 -> file10227.txt: 8629 slow
Worker-6 -> file10230.txt: 4596 slow
Worker-7 -> file10233.txt: 5257 slow
Worker-4 -> file10234.txt: 5299 slow
Worker-5 -> file10237.txt: 4971 slow
Worker-6 -> file10238.txt: 5515 slow
Worker-2 -> file10231.txt: 9431 slow
Worker-8 -> file10232.txt: 9216 slow
Worker-4 -> file1024.txt: 3070 slow
Worker-7 -> file10239.txt: 4115 slow
Worker-1 -> file10236.txt: 9241 slow
Worker-4 -> file10244.txt: 2065 slow
Worker-7 -> file10245.txt: 2646 slow
Worker-1 -> file10246.txt: 2521 slow
Worker-6 -> file10241.txt: 7403 slow
