Searching for text files...
Found 50000 files. Starting processing...

Worker-1 -> file13713.txt: 8072 slow
Worker-5 -> file13715.txt: 3671 slow
Worker-2 -> file13707.txt: 8406 slow
Worker-7 -> file13717.txt: 9800 slow
Worker-6 -> file13716.txt: 5773 slow
Worker-8 -> file13710.txt: 9853 slow
Worker-4 -> file13711.txt: 9808 slow
Worker-3 -> file13714.txt: 9839 slow
Worker-6 -> file13721.txt: 1438 slow
Worker-7 -> file13720.txt: 3502 slow
Worker-1 -> file13718.txt: 9787 slow
Worker-1 -> file13727.txt: 4133 slow
Worker-2 -> file1372.txt: 8553 slow
Worker-5 -> file13719.txt: 9370 slow
Worker-6 -> file13725.txt: 4179 slow
Worker-7 -> file13726.txt: 8125 slow
Worker-3 -> file13724.txt: 5889 slow
Worker-1 -> file13728.txt: 4140 slow
Worker-7 -> file13731.txt: 1426 slow
Worker-2 -> file13729.txt: 3183 slow
Worker-8 -> file13722.txt: 8688 slow
Worker-7 -> file13734.txt: 2461 slow
Worker-4 -> file13723.txt: 8563 slow
Worker-5 -> file1373.txt: 5303 slow
Worker-1 -> file13733.txt: 5652 slow
Worker-7 -> file13737.txt: 6501 slow
Worker-6 -> file13730.txt: 7523 slow
Worker-4 -> file13738.txt: 4166 slow
Worker-5 -> file13739.txt: 3601 slow
Worker-3 -> file13732.txt: 7598 slow
Worker-1 -> file1374.txt: 8308 slow
Worker-8 -> file13736.txt: 9183 slow
Worker-2 -> file13735.txt: 9313 slow
Worker-4 -> file13742.txt: 4171 slow
Worker-5 -> file13743.txt: 3553 slow
Worker-1 -> file13745.txt: 5601 slow
Worker-8 -> file13746.txt: 1299 slow
Worker-3 -> file13744.txt: 4456 slow
Worker-7 -> file13740.txt: 9949 slow
Worker-8 -> file13750.txt: 1823 slow
Worker-1 -> file1375.txt: 4389 slow
Worker-7 -> file13752.txt: 4123 slow
Worker-6 -> file13741.txt: 9794 slow
Worker-5 -> file13749.txt: 4577 slow
Worker-7 -> file13755.txt: 1998 slow
Worker-1 -> file13754.txt: 4862 slow
Worker-2 -> file13747.txt: 6873 slow
Worker-4 -> file13748.txt: 6488 slow
Worker-1 -> file13759.txt: 4568 slow
Worker-7 -> file13758.txt: 7176 slow
Worker-3 -> file13751.txt: 9365 slow
Worker-1 -> file13761.txt: 1701 slow
Worker-7 -> file13762.txt: 3835 slow
Worker-6 -> file13756.txt: 7358 slow
Worker-8 -> file13753.txt: 9548 slow
Worker-5 -> file13757.txt: 7888 slow
Worker-3 -> file13763.txt: 2583 slow
Worker-4 -> file13760.txt: 6908 slow
Worker-1 -> file13764.txt: 7230 slow
Worker-8 -> file13767.txt: 2993 slow
Worker-2 -> file1376.txt: 9762 slow
Worker-6 -> file13766.txt: 3713 slow
Worker-7 -> file13765.txt: 8919 slow
Worker-8 -> file13771.txt: 2044 slow
Worker-1 -> file13770.txt: 5633 slow
Worker-5 -> file13768.txt: 6222 slow
Worker-2 -> file13772.txt: 3581 slow
Worker-7 -> file13774.txt: 4294 slow
Worker-8 -> file13775.txt: 2722 slow
Worker-1 -> file13776.txt: 4649 slow
Worker-6 -> file13773.txt: 5031 slow
Worker-4 -> file1377.txt: 8465 slow
Worker-1 -> file13780.txt: 1912 slow
Worker-2 -> file13778.txt: 2601 slow
Worker-3 -> file13769.txt: 9460 slow
Worker-1 -> file13783.txt: 2266 slow
Worker-3 -> file13785.txt: 1425 slow
Worker-7 -> file13779.txt: 6483 slow
Worker-5 -> file13777.txt: 5647 slow
Worker-1 -> file13786.txt: 2468 slow
Worker-6 -> file13781.txt: 4187 slow
Worker-3 -> file13787.txt: 1572 slow
Worker-4 -> file13782.txt: 3929 slow
Worker-1 -> file1379.txt: 2446 slow
Worker-6 -> file13790.txt: 2118 slow
Worker-1 -> file13793.txt: 3731 slow
Worker-2 -> file13784.txt: 6854 slow
Worker-8 -> file1378.txt: 8915 slow
Worker-1 -> file13795.txt: 1596 slow
Worker-7 -> file13788.txt: 9049 slow
Worker-7 -> file13799.txt: 1091 slow
Worker-5 -> file13789.txt: 7362 slow
Worker-1 -> file13798.txt: 6057 slow
Worker-1 -> file13800.txt: 1166 slow
Worker-3 -> file13791.txt: 8512 slow
Worker-4 -> file13792.txt: 8681 slow
Worker-6 -> file13794.txt: 7423 slow
Worker-2 -> file13796.txt: 5763 slow
Worker-5 -> file1380.txt: 3969 slow
Worker-1 -> file13801.txt: 3785 slow
Worker-7 -> file138.txt: 9001 slow
Worker-8 -> file13797.txt: 8281 slow
Worker-7 -> file13808.txt: 2171 slow
Worker-1 -> file13806.txt: 5788 slow
Worker-2 -> file13805.txt: 5104 slow
Worker-4 -> file13803.txt: 6147 slow
Worker-6 -> file13804.txt: 5542 slow
Worker-7 -> file1381.txt: 4151 slow
Worker-1 -> file13810.txt: 4720 slow
Worker-5 -> file13807.txt: 6716 slow
Worker-3 -> file13802.txt: 9712 slow
Worker-5 -> file13816.txt: 1450 slow
Worker-7 -> file13814.txt: 7195 slow
Worker-4 -> file13812.txt: 5128 slow
Worker-7 -> file13819.txt: 1407 slow
Worker-1 -> file13815.txt: 6678 slow
Worker-2 -> file13811.txt: 6588 slow
Worker-3 -> file13817.txt: 2850 slow
Worker-8 -> file13809.txt: 9075 slow
Worker-3 -> file13823.txt: 2380 slow
Worker-6 -> file13813.txt: 8314 slow
Worker-2 -> file13822.txt: 3404 slow
Worker-7 -> file13820.txt: 6077 slow
Worker-5 -> file13818.txt: 8319 slow
Worker-4 -> file1382.txt: 6731 slow
Worker-8 -> file13824.txt: 6878 slow
Worker-1 -> file13821.txt: 7004 slow
Worker-2 -> file13827.txt: 3768 slow
Worker-4 -> file13829.txt: 2179 slow
Worker-7 -> file13828.txt: 7905 slow
Worker-1 -> file13831.txt: 2770 slow
Worker-3 -> file13825.txt: 7950 slow
Worker-6 -> file13826.txt: 7925 slow
Worker-7 -> file13834.txt: 5140 slow
Worker-5 -> file1383.txt: 7617 slow
Worker-8 -> file13830.txt: 7457 slow
Worker-4 -> file13833.txt: 6712 slow
Worker-2 -> file13832.txt: 7594 slow
Worker-1 -> file13835.txt: 6362 slow
Worker-4 -> file13841.txt: 1622 slow
Worker-6 -> file13836.txt: 7271 slow
Worker-7 -> file13838.txt: 9884 slow
Worker-1 -> file13842.txt: 2726 slow
Worker-3 -> file13837.txt: 8068 slow
Worker-4 -> file13843.txt: 2719 slow
Worker-3 -> file13847.txt: 1388 slow
Worker-8 -> file1384.txt: 5943 slow
Worker-2 -> file13840.txt: 5633 slow
Worker-5 -> file13839.txt: 7101 slow
Worker-6 -> file13844.txt: 3657 slow
Worker-8 -> file1385.txt: 1324 slow
Worker-6 -> file13852.txt: 1180 slow
Worker-1 -> file13846.txt: 5233 slow
Worker-4 -> file13848.txt: 4533 slow
Worker-7 -> file13845.txt: 8756 slow
Worker-7 -> file13857.txt: 1126 slow
Worker-5 -> file13851.txt: 4197 slow
Worker-6 -> file13854.txt: 2903 slow
Worker-5 -> file13859.txt: 1662 slow
Worker-8 -> file13853.txt: 5193 slow
Worker-7 -> file13858.txt: 4730 slow
Worker-6 -> file1386.txt: 2244 slow
Worker-2 -> file13850.txt: 8715 slow
Worker-3 -> file13849.txt: 9791 slow
Worker-7 -> file13863.txt: 3823 slow
Worker-1 -> file13856.txt: 7181 slow
Worker-4 -> file13855.txt: 9280 slow
Worker-7 -> file13866.txt: 7176 slow
Worker-6 -> file13862.txt: 7045 slow
Worker-3 -> file13865.txt: 5067 slow
Worker-2 -> file13864.txt: 5909 slow
Worker-8 -> file13861.txt: 8852 slow
Worker-5 -> file13860.txt: 9019 slow
Worker-3 -> file13870.txt: 2078 slow
Worker-4 -> file13868.txt: 4302 slow
Worker-3 -> file13874.txt: 1334 slow
Worker-5 -> file13873.txt: 3434 slow
Worker-1 -> file13867.txt: 9264 slow
Worker-7 -> file13869.txt: 9065 slow
Worker-4 -> file13875.txt: 3343 slow
Worker-4 -> file1388.txt: 2542 slow
Worker-1 -> file13878.txt: 3685 slow
Worker-6 -> file1387.txt: 9021 slow
Worker-3 -> file13876.txt: 9917 slow
Worker-2 -> file13871.txt: 9872 slow
Worker-8 -> file13872.txt: 9171 slow
Worker-7 -> file13879.txt: 8090 slow
Worker-6 -> file13882.txt: 1795 slow
Worker-5 -> file13877.txt: 7384 slow
Worker-3 -> file13883.txt: 4859 slow
Worker-2 -> file13884.txt: 2658 slow
Worker-4 -> file13880.txt: 6013 slow
Worker-1 -> file13881.txt: 7092 slow
Worker-7 -> file13886.txt: 9783 slow
Worker-6 -> file13887.txt: 4949 slow
Worker-5 -> file13888.txt: 4234 slow
Worker-3 -> file13889.txt: 7262 slow
Worker-2 -> file1389.txt: 3333 slow
Worker-8 -> file13885.txt: 6803 slow
Worker-1 -> file13891.txt: 1321 slow
Worker-4 -> file13890.txt: 3576 slow
Worker-7 -> file13892.txt: 6325 slow
Worker-3 -> file13895.txt: 5580 slow
Worker-5 -> file13894.txt: 3767 slow
Worker-2 -> file13896.txt: 3591 slow
Worker-6 -> file13893.txt: 5338 slow
Worker-5 -> file13900.txt: 2273 slow
Worker-3 -> file1390.txt: 4746 slow
Worker-7 -> file139.txt: 5114 slow
Worker-1 -> file13898.txt: 6711 slow
Worker-8 -> file13897.txt: 8520 slow
Worker-3 -> file13904.txt: 4366 slow
Worker-4 -> file13899.txt: 8705 slow
Worker-2 -> file13901.txt: 6742 slow
Worker-3 -> file13908.txt: 1483 slow
Worker-5 -> file13903.txt: 4565 slow
Worker-8 -> file13907.txt: 1673 slow
Worker-1 -> file13906.txt: 3106 slow
Worker-6 -> file13902.txt: 6508 slow
Worker-7 -> file13905.txt: 7275 slow
Worker-3 -> file13910.txt: 2286 slow
Worker-3 -> file13916.txt: 1068 slow
Worker-7 -> file13915.txt: 3028 slow
Worker-4 -> file13909.txt: 3323 slow
Worker-3 -> file13917.txt: 2415 slow
Worker-2 -> file1391.txt: 4509 slow
Worker-1 -> file13913.txt: 3871 slow
Worker-5 -> file13911.txt: 5278 slow
Worker-7 -> file13918.txt: 4618 slow
Worker-6 -> file13914.txt: 5387 slow
Worker-7 -> file13923.txt: 4261 slow
Worker-1 -> file13921.txt: 4640 slow
Worker-3 -> file1392.txt: 9187 slow
Worker-8 -> file13912.txt: 9018 slow
Worker-4 -> file13919.txt: 7304 slow
Worker-2 -> file13920.txt: 7786 slow
Worker-8 -> file13928.txt: 2950 slow
Worker-7 -> file13925.txt: 6365 slow
Worker-3 -> file13927.txt: 8163 slow
Worker-5 -> file13922.txt: 8682 slow
Worker-1 -> file13926.txt: 5052 slow
Worker-2 -> file1393.txt: 2886 slow
Worker-6 -> file13924.txt: 9491 slow
Worker-4 -> file13929.txt: 5728 slow
Worker-6 -> file13936.txt: 2019 slow
Worker-7 -> file13931.txt: 7742 slow
Worker-3 -> file13932.txt: 8660 slow
Worker-7 -> file13939.txt: 3345 slow
Worker-2 -> file13935.txt: 5754 slow
Worker-8 -> file13930.txt: 9328 slow
Worker-4 -> file13937.txt: 5599 slow
Worker-1 -> file13934.txt: 7996 slow
Worker-3 -> file1394.txt: 5749 slow
Worker-5 -> file13933.txt: 9004 slow
Worker-3 -> file13945.txt: 2396 slow
Worker-6 -> file13938.txt: 7607 slow
Worker-5 -> file13946.txt: 2065 slow
Worker-7 -> file13940.txt: 8591 slow
Worker-4 -> file13943.txt: 4854 slow
Worker-1 -> file13944.txt: 4786 slow
Worker-5 -> file13949.txt: 2143 slow
Worker-8 -> file13942.txt: 7452 slow
Worker-3 -> file13947.txt: 5197 slow
Worker-2 -> file13941.txt: 9909 slow
Worker-5 -> file13952.txt: 2901 slow
Worker-3 -> file13954.txt: 3243 slow
Worker-1 -> file13951.txt: 4744 slow
Worker-2 -> file13955.txt: 1736 slow
Worker-7 -> file1395.txt: 8868 slow
Worker-6 -> file13948.txt: 9964 slow
Worker-7 -> file1396.txt: 4679 slow
Worker-4 -> file13950.txt: 8519 slow
Worker-5 -> file13956.txt: 5536 slow
Worker-8 -> file13953.txt: 6953 slow
Worker-3 -> file13957.txt: 8911 slow
Worker-8 -> file13964.txt: 1449 slow
Worker-1 -> file13958.txt: 8698 slow
Worker-4 -> file13962.txt: 5383 slow
Worker-2 -> file13959.txt: 8833 slow
Worker-7 -> file13961.txt: 8740 slow
Worker-6 -> file13960.txt: 5757 slow
Worker-8 -> file13966.txt: 1886 slow
Worker-5 -> file13963.txt: 4398 slow
Worker-8 -> file13971.txt: 1266 slow
Worker-3 -> file13965.txt: 9336 slow
Worker-3 -> file13974.txt: 1229 slow
Worker-4 -> file13968.txt: 4316 slow
Worker-7 -> file1397.txt: 5958 slow
Worker-1 -> file13967.txt: 5367 slow
Worker-2 -> file13969.txt: 5476 slow
Worker-1 -> file13978.txt: 1368 slow
Worker-5 -> file13972.txt: 7073 slow
Worker-8 -> file13973.txt: 7278 slow
Worker-4 -> file13976.txt: 4495 slow
Worker-2 -> file13979.txt: 2484 slow
Worker-6 -> file13970.txt: 8557 slow
Worker-3 -> file13975.txt: 8761 slow
Worker-3 -> file13985.txt: 1049 slow
Worker-3 -> file13986.txt: 1202 slow
Worker-1 -> file1398.txt: 4396 slow
Worker-8 -> file13981.txt: 2777 slow
Worker-7 -> file13977.txt: 9531 slow
Worker-3 -> file13988.txt: 3315 slow
Worker-5 -> file13980.txt: 6274 slow
Worker-8 -> file13989.txt: 3403 slow
Worker-1 -> file13987.txt: 4422 slow
Worker-4 -> file13982.txt: 6771 slow
Worker-7 -> file1399.txt: 6637 slow
Worker-1 -> file13993.txt: 1593 slow
Worker-2 -> file13983.txt: 7960 slow
Worker-3 -> file13990.txt: 5014 slow
Worker-6 -> file13984.txt: 8374 slow
Worker-5 -> file13991.txt: 3921 slow
Worker-8 -> file13992.txt: 3750 slow
Worker-5 -> file14.txt: 1053 slow
Worker-2 -> file13997.txt: 1651 slow
Worker-5 -> file1400.txt: 1050 slow
Worker-1 -> file13996.txt: 3599 slow
Worker-4 -> file13994.txt: 5722 slow
Worker-7 -> file13995.txt: 8486 slow
Worker-8 -> file140.txt: 5557 slow
Worker-3 -> file13998.txt: 8465 slow
Worker-5 -> file14001.txt: 4670 slow
Worker-3 -> file14006.txt: 1774 slow
Worker-2 -> file14000.txt: 5714 slow
Worker-1 -> file14002.txt: 5781 slow
Worker-8 -> file14005.txt: 2388 slow
Worker-4 -> file14003.txt: 5569 slow
Worker-7 -> file14004.txt: 8668 slow
Worker-6 -> file13999.txt: 9414 slow
Worker-7 -> file14012.txt: 1496 slow
Worker-4 -> file14011.txt: 1339 slow
Worker-3 -> file14008.txt: 4625 slow
Worker-2 -> file14009.txt: 2233 slow
Worker-7 -> file14014.txt: 4196 slow
Worker-4 -> file14015.txt: 3993 slow
Worker-5 -> file14007.txt: 9768 slow
Worker-3 -> file14016.txt: 8689 slow
Worker-1 -> file1401.txt: 8168 slow
Worker-8 -> file14010.txt: 7452 slow
Worker-6 -> file14013.txt: 6905 slow
Worker-7 -> file14018.txt: 5781 slow
Worker-3 -> file14020.txt: 3287 slow
Worker-1 -> file14021.txt: 2001 slow
Worker-2 -> file14017.txt: 8071 slow
Worker-6 -> file14023.txt: 3981 slow
Worker-5 -> file1402.txt: 4581 slow
Worker-3 -> file14025.txt: 4356 slow
Worker-7 -> file14024.txt: 5978 slow
Worker-8 -> file14022.txt: 5422 slow
Worker-2 -> file14027.txt: 3226 slow
Worker-7 -> file14030.txt: 1587 slow
Worker-1 -> file14026.txt: 4822 slow
Worker-4 -> file14019.txt: 9738 slow
Worker-6 -> file14029.txt: 4265 slow
Worker-3 -> file1403.txt: 5093 slow
Worker-2 -> file14032.txt: 4139 slow
Worker-3 -> file14037.txt: 2077 slow
Worker-6 -> file14036.txt: 3049 slow
Worker-7 -> file14033.txt: 6174 slow
Worker-3 -> file14039.txt: 1137 slow
Worker-5 -> file14028.txt: 8928 slow
Worker-8 -> file14031.txt: 7679 slow
Worker-4 -> file14035.txt: 8295 slow
Worker-1 -> file14034.txt: 9005 slow
Worker-3 -> file14041.txt: 5706 slow
Worker-7 -> file14040.txt: 8052 slow
Worker-8 -> file14043.txt: 3853 slow
Worker-7 -> file14047.txt: 1026 slow
Worker-6 -> file1404.txt: 7998 slow
Worker-4 -> file14044.txt: 4282 slow
Worker-8 -> file14048.txt: 2619 slow
Worker-6 -> file1405.txt: 1509 slow
Worker-5 -> file14042.txt: 7920 slow
Worker-3 -> file14046.txt: 7032 slow
Worker-4 -> file14050.txt: 1285 slow
Worker-7 -> file14049.txt: 6684 slow
Worker-1 -> file14045.txt: 6494 slow
Worker-4 -> file14055.txt: 1214 slow
Worker-5 -> file14053.txt: 2629 slow
Worker-1 -> file14057.txt: 1341 slow
Worker-3 -> file14054.txt: 4589 slow
Worker-3 -> file14060.txt: 1762 slow
Worker-2 -> file14038.txt: 8319 slow
Worker-7 -> file14056.txt: 6428 slow
Worker-6 -> file14052.txt: 5965 slow
Worker-8 -> file14051.txt: 7749 slow
Worker-5 -> file14059.txt: 4387 slow
Worker-7 -> file14063.txt: 6138 slow
Worker-6 -> file14064.txt: 4267 slow
Worker-3 -> file14061.txt: 8973 slow
Worker-4 -> file14058.txt: 9608 slow
Worker-2 -> file14062.txt: 6764 slow
Worker-1 -> file1406.txt: 8976 slow
Worker-5 -> file14066.txt: 6014 slow
Worker-7 -> file14067.txt: 7230 slow
Worker-3 -> file14069.txt: 7375 slow
Worker-4 -> file1407.txt: 3613 slow
Worker-6 -> file14068.txt: 6350 slow
Worker-8 -> file14065.txt: 9459 slow
Worker-2 -> file14070.txt: 7589 slow
Worker-7 -> file14073.txt: 8529 slow
Worker-3 -> file14074.txt: 8395 slow
Worker-1 -> file14071.txt: 9232 slow
Worker-4 -> file14075.txt: 5925 slow
Worker-3 -> file1408.txt: 2238 slow
Worker-8 -> file14077.txt: 4453 slow
Worker-2 -> file14078.txt: 2658 slow
Worker-5 -> file14072.txt: 8545 slow
Worker-6 -> file14076.txt: 6915 slow
Worker-3 -> file14082.txt: 3719 slow
Worker-7 -> file14079.txt: 8706 slow
Worker-8 -> file14083.txt: 3241 slow
Worker-2 -> file14084.txt: 4005 slow
Worker-7 -> file14088.txt: 2811 slow
Worker-3 -> file14087.txt: 4471 slow
Worker-5 -> file14085.txt: 5273 slow
Worker-8 -> file14089.txt: 2761 slow
Worker-1 -> file14080.txt: 8461 slow
Worker-5 -> file14092.txt: 2331 slow
Worker-2 -> file1409.txt: 4028 slow
Worker-4 -> file14081.txt: 8817 slow
Worker-6 -> file14086.txt: 8219 slow
Worker-1 -> file14094.txt: 1683 slow
Worker-8 -> file14093.txt: 3523 slow
Worker-2 -> file14096.txt: 3100 slow
Worker-3 -> file14091.txt: 8191 slow
Worker-7 -> file14090.txt: 8980 slow
Worker-1 -> file14099.txt: 2790 slow
Worker-4 -> file14097.txt: 5667 slow
Worker-3 -> file14100.txt: 4257 slow
Worker-5 -> file14095.txt: 6406 slow
Worker-3 -> file14104.txt: 2190 slow
Worker-7 -> file14101.txt: 6644 slow
Worker-5 -> file14105.txt: 3338 slow
Worker-3 -> file14106.txt: 3897 slow
Worker-2 -> file1410.txt: 5961 slow
Worker-6 -> file14098.txt: 8833 slow
Worker-3 -> file14109.txt: 1385 slow
Worker-7 -> file14107.txt: 4859 slow
Worker-8 -> file141.txt: 9632 slow
Worker-1 -> file14102.txt: 7669 slow
Worker-6 -> file14110.txt: 2520 slow
Worker-5 -> file14108.txt: 4024 slow
Worker-8 -> file14113.txt: 2843 slow
Worker-4 -> file14103.txt: 8779 slow
Worker-5 -> file14116.txt: 1529 slow
Worker-3 -> file14111.txt: 7135 slow
Worker-7 -> file14112.txt: 6794 slow
Worker-8 -> file14117.txt: 3350 slow
Worker-7 -> file14120.txt: 3443 slow
Worker-1 -> file14114.txt: 7368 slow
Worker-6 -> file14115.txt: 6111 slow
Worker-8 -> file14121.txt: 2932 slow
Worker-3 -> file1412.txt: 9966 slow
Worker-3 -> file14126.txt: 1274 slow
Worker-7 -> file14122.txt: 8464 slow
Worker-4 -> file14118.txt: 8554 slow
Worker-3 -> file14127.txt: 1340 slow
Worker-5 -> file14119.txt: 8752 slow
Worker-6 -> file14124.txt: 5746 slow
Worker-3 -> file1413.txt: 1384 slow
Worker-1 -> file14123.txt: 5459 slow
Worker-2 -> file1411.txt: 9515 slow
Worker-1 -> file14133.txt: 1249 slow
Worker-5 -> file14130.txt: 2157 slow
Worker-7 -> file14128.txt: 7111 slow
Worker-8 -> file14125.txt: 9404 slow
Worker-6 -> file14131.txt: 6031 slow
Worker-7 -> file14137.txt: 6545 slow
Worker-3 -> file14132.txt: 9822 slow
Worker-4 -> file14129.txt: 8605 slow
Worker-2 -> file14134.txt: 6485 slow
Worker-1 -> file14135.txt: 6622 slow
Worker-7 -> file1414.txt: 7015 slow
Worker-6 -> file14139.txt: 4346 slow
Worker-5 -> file14136.txt: 8962 slow
Worker-3 -> file14140.txt: 9317 slow
Worker-4 -> file14141.txt: 4697 slow
Worker-7 -> file14144.txt: 5207 slow
Worker-6 -> file14145.txt: 3557 slow
Worker-8 -> file14138.txt: 7775 slow
Worker-2 -> file14142.txt: 7701 slow
Worker-8 -> file14150.txt: 2153 slow
Worker-1 -> file14143.txt: 8933 slow
Worker-7 -> file14149.txt: 7667 slow
Worker-3 -> file14147.txt: 8803 slow
Worker-8 -> file14152.txt: 2010 slow
Worker-8 -> file14156.txt: 1158 slow
Worker-5 -> file14146.txt: 9091 slow
Worker-4 -> file14148.txt: 8081 slow
Worker-8 -> file14157.txt: 1548 slow
Worker-2 -> file14151.txt: 6047 slow
Worker-7 -> file14154.txt: 6383 slow
Worker-3 -> file14155.txt: 6312 slow
Worker-6 -> file1415.txt: 8488 slow
Worker-2 -> file14160.txt: 2609 slow
Worker-1 -> file14153.txt: 7713 slow
Worker-8 -> file1416.txt: 4343 slow
Worker-5 -> file14158.txt: 5894 slow
Worker-7 -> file14161.txt: 7718 slow
Worker-8 -> file14166.txt: 2080 slow
Worker-1 -> file14165.txt: 3126 slow
Worker-2 -> file14164.txt: 3762 slow
Worker-7 -> file14168.txt: 2745 slow
Worker-4 -> file14159.txt: 8803 slow
Worker-3 -> file14162.txt: 9568 slow
Worker-6 -> file14163.txt: 7501 slow
Worker-2 -> file14170.txt: 1528 slow
Worker-5 -> file14167.txt: 5114 slow
Worker-1 -> file1417.txt: 3184 slow
Worker-3 -> file14173.txt: 3840 slow
Worker-6 -> file14174.txt: 3180 slow
Worker-7 -> file14171.txt: 8919 slow
Worker-2 -> file14175.txt: 4680 slow
Worker-3 -> file14178.txt: 5617 slow
Worker-5 -> file14176.txt: 5157 slow
Worker-4 -> file14172.txt: 7504 slow
Worker-8 -> file14169.txt: 9085 slow
Worker-7 -> file1418.txt: 4195 slow
Worker-3 -> file14181.txt: 4220 slow
Worker-5 -> file14182.txt: 1510 slow
Worker-6 -> file14179.txt: 5561 slow
Worker-7 -> file14185.txt: 3718 slow
Worker-1 -> file14177.txt: 9666 slow
Worker-2 -> file14180.txt: 8344 slow
Worker-4 -> file14183.txt: 6555 slow
Worker-8 -> file14184.txt: 8455 slow
Worker-1 -> file1419.txt: 1232 slow
Worker-7 -> file14189.txt: 5855 slow
Worker-5 -> file14187.txt: 3665 slow
Worker-4 -> file14191.txt: 5843 slow
Worker-1 -> file14193.txt: 1591 slow
Worker-6 -> file14188.txt: 3369 slow
Worker-3 -> file14186.txt: 7624 slow
Worker-2 -> file14190.txt: 8988 slow
Worker-1 -> file14197.txt: 2549 slow
Worker-8 -> file14192.txt: 9953 slow
Worker-6 -> file14198.txt: 3799 slow
Worker-5 -> file14195.txt: 6831 slow
Worker-4 -> file14196.txt: 6761 slow
Worker-7 -> file14194.txt: 8548 slow
Worker-8 -> file14200.txt: 2011 slow
Worker-5 -> file14202.txt: 1639 slow
Worker-1 -> file1420.txt: 3645 slow
Worker-2 -> file142.txt: 4125 slow
Worker-3 -> file14199.txt: 6579 slow
Worker-5 -> file14206.txt: 2001 slow
Worker-3 -> file14209.txt: 1702 slow
Worker-6 -> file14201.txt: 7076 slow
Worker-8 -> file14205.txt: 4039 slow
Worker-2 -> file14208.txt: 4026 slow
Worker-4 -> file14203.txt: 6027 slow
Worker-1 -> file14207.txt: 7015 slow
Worker-8 -> file14212.txt: 1369 slow
Worker-5 -> file1421.txt: 3765 slow
Worker-7 -> file14204.txt: 8997 slow
Worker-3 -> file14210.txt: 5072 slow
Worker-8 -> file14216.txt: 2985 slow
Worker-1 -> file14215.txt: 3742 slow
Worker-6 -> file14211.txt: 6622 slow
Worker-3 -> file14219.txt: 3146 slow
Worker-5 -> file14217.txt: 5590 slow
Worker-4 -> file14214.txt: 6549 slow
Worker-2 -> file14213.txt: 6525 slow
Worker-7 -> file14218.txt: 7936 slow
Worker-6 -> file14221.txt: 3916 slow
Worker-8 -> file1422.txt: 4432 slow
Worker-2 -> file14225.txt: 3535 slow
Worker-5 -> file14223.txt: 5587 slow
Worker-1 -> file14220.txt: 7921 slow
Worker-3 -> file14222.txt: 6730 slow
Worker-7 -> file14226.txt: 3598 slow
Worker-8 -> file14228.txt: 3607 slow
Worker-2 -> file14229.txt: 5987 slow
Worker-3 -> file14231.txt: 4890 slow
Worker-4 -> file14224.txt: 9562 slow
Worker-6 -> file14227.txt: 7618 slow
Worker-3 -> file14235.txt: 1000 slow
Worker-4 -> file14236.txt: 2378 slow
Worker-1 -> file1423.txt: 7842 slow
Worker-6 -> file14237.txt: 3007 slow
Worker-8 -> file14233.txt: 5763 slow
Worker-3 -> file14238.txt: 1022 slow
Worker-7 -> file14232.txt: 9366 slow
Worker-4 -> file14239.txt: 2695 slow
Worker-5 -> file14230.txt: 9316 slow
Worker-2 -> file14234.txt: 9176 slow
Worker-6 -> file14240.txt: 4606 slow
Worker-1 -> file1424.txt: 4675 slow
Worker-5 -> file14245.txt: 2491 slow
Worker-8 -> file14241.txt: 7307 slow
Worker-4 -> file14244.txt: 8637 slow
Worker-3 -> file14242.txt: 8203 slow
Worker-7 -> file14243.txt: 6953 slow
Worker-8 -> file1425.txt: 4943 slow
Worker-2 -> file14246.txt: 6986 slow
Worker-6 -> file14247.txt: 6416 slow
Worker-5 -> file14249.txt: 7154 slow
Worker-3 -> file14251.txt: 3835 slow
Worker-6 -> file14255.txt: 1313 slow
Worker-7 -> file14252.txt: 2325 slow
Worker-2 -> file14254.txt: 1733 slow
Worker-1 -> file14248.txt: 8343 slow
Worker-4 -> file14250.txt: 4968 slow
Worker-5 -> file14256.txt: 1893 slow
Worker-8 -> file14253.txt: 4796 slow
Worker-3 -> file14257.txt: 4752 slow
Worker-2 -> file1426.txt: 4319 slow
Worker-4 -> file14261.txt: 4631 slow
Worker-2 -> file14265.txt: 1290 slow
Worker-7 -> file14259.txt: 5331 slow
Worker-5 -> file14262.txt: 5038 slow
Worker-6 -> file14258.txt: 9790 slow
Worker-7 -> file14268.txt: 1779 slow
Worker-8 -> file14263.txt: 7299 slow
Worker-5 -> file14269.txt: 2356 slow
Worker-4 -> file14266.txt: 5522 slow
Worker-1 -> file14260.txt: 7359 slow
Worker-3 -> file14264.txt: 6852 slow
Worker-7 -> file14270.txt: 5673 slow
Worker-6 -> file1427.txt: 6985 slow
Worker-4 -> file14273.txt: 3862 slow
Worker-8 -> file14271.txt: 8694 slow
Worker-1 -> file14274.txt: 6074 slow
Worker-3 -> file14275.txt: 6057 slow
Worker-5 -> file14272.txt: 8625 slow
Worker-7 -> file14276.txt: 5958 slow
Worker-3 -> file14280.txt: 1667 slow
Worker-6 -> file14277.txt: 6522 slow
Worker-5 -> file14281.txt: 1189 slow
Worker-2 -> file14267.txt: 8959 slow
Worker-8 -> file14279.txt: 5471 slow
Worker-4 -> file14278.txt: 3384 slow
Worker-1 -> file1428.txt: 7706 slow
